                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3289,                 3.6666,                 2.5908,                0.00271,                0.14815,                0.00369,                0.00073,                 3.6542,                 3.8697,                 2.8025,                  6e-05,                  6e-05,                  6e-05
                      2,                 3.5396,                 3.9849,                 2.6527,                0.02079,                0.11111,                0.00748,                0.00239,                 3.2894,                 17.369,                 2.5269,             0.00013861,             0.00013861,             0.00013861
                      3,                 2.4518,                 5.9203,                 2.0621,                 0.0156,                0.62963,                0.01385,                0.00483,                 2.8966,                 93.015,                 2.4971,             0.00021564,             0.00021564,             0.00021564
                      4,                 2.1578,                  8.801,                 1.9986,                0.01093,                0.44444,                0.00833,                0.00302,                 2.8414,                 154.59,                 3.2288,             0.00029109,             0.00029109,             0.00029109
                      5,                 1.9581,                 2.7391,                 1.8632,                0.05622,                 0.7037,                0.05028,                0.01645,                 2.3804,                    inf,                 2.2242,             0.00036495,             0.00036495,             0.00036495
                      6,                 1.8781,                 2.8336,                 1.7805,                0.29156,                0.33333,                0.20023,                0.07324,                 2.5661,                 6.7141,                 2.7753,             0.00043723,             0.00043723,             0.00043723
                      7,                 1.8268,                 2.4698,                 1.6508,                0.24465,                0.44444,                0.26529,                0.09916,                    nan,                    nan,                    nan,             0.00050792,             0.00050792,             0.00050792
                      8,                 1.7013,                 1.9782,                 1.5914,                0.24465,                0.44444,                0.26529,                0.09916,                    nan,                    nan,                    nan,             0.00057703,             0.00057703,             0.00057703
                      9,                 1.7311,                 2.2157,                 1.5867,                0.24465,                0.44444,                0.26529,                0.09916,                    nan,                    nan,                    nan,             0.00064456,             0.00064456,             0.00064456
                     10,                 1.7523,                 1.9583,                 1.5658,                0.24465,                0.44444,                0.26529,                0.09916,                    nan,                    nan,                    nan,              0.0007105,              0.0007105,              0.0007105
                     11,                 1.6339,                 1.8955,                 1.5179,                0.24465,                0.44444,                0.26529,                0.09916,                    nan,                    nan,                    nan,             0.00077486,             0.00077486,             0.00077486
                     12,                 1.6006,                 1.6609,                 1.5076,                0.24465,                0.44444,                0.26529,                0.09916,                    nan,                    nan,                    nan,             0.00083763,             0.00083763,             0.00083763
                     13,                 1.6248,                 1.6818,                 1.5939,                0.24465,                0.44444,                0.26529,                0.09916,                    nan,                    nan,                    nan,             0.00089882,             0.00089882,             0.00089882
                     14,                 1.6365,                  1.633,                  1.494,                0.24465,                0.44444,                0.26529,                0.09916,                    nan,                    nan,                    nan,             0.00095843,             0.00095843,             0.00095843
                     15,                 1.6072,                  1.445,                  1.475,                0.24465,                0.44444,                0.26529,                0.09916,                    nan,                    nan,                    nan,              0.0010165,              0.0010165,              0.0010165
                     16,                 1.7636,                 1.4723,                 1.5204,                0.24465,                0.44444,                0.26529,                0.09916,                    nan,                    nan,                    nan,              0.0010729,              0.0010729,              0.0010729
                     17,                  1.724,                 1.3712,                 1.5144,                0.00067,                0.03704,                0.00041,                  8e-05,                    nan,                    nan,                    nan,              0.0011277,              0.0011277,              0.0011277
                     18,                 1.6604,                 1.6831,                 1.4593,                0.00067,                0.03704,                 0.0004,                0.00016,                    nan,                    nan,                    nan,               0.001181,               0.001181,               0.001181
